Year,Country,Region,Gaming_Revenue_BillionUSD,Esports_Revenue_MillionUSD,Active_Players_Million,Esports_Viewers_Million,Avg_Spending_USD,Top_Genre,Top_Platform,Esports_Tournaments_Count,Pro_Players_Count,Internet_Penetration_Percent,Avg_Latency_ms,AR_VR_Adoption_Index,Streaming_Influence_Index,Covid_Impact_Index,Female_Gamer_Percent,Mobile_Gaming_Share,Esports_PrizePool_MillionUSD,Gaming_Companies_Count
2018,Argentina,South America,2.36,313.4,15.0,34.5,79.2,RPG,Mobile,90,18000,86.5,45.4,0.37,0.58,0.0,22.6,44.0,13.9,453
2019,Argentina,South America,2.53,329.7,52.3,84.6,113.0,Strategy,Mobile,102,17952,73.4,99.7,0.48,0.64,0.0,25.6,47.0,25.9,25
2020,Argentina,South America,2.71,170.3,25.7,56.8,66.3,Strategy,Console,91,20020,65.7,43.3,0.41,1.15,0.45,30.4,50.0,29.6,414
2021,Argentina,South America,2.91,206.8,45.1,69.8,72.6,RPG,PC,54,12150,83.5,55.9,0.68,1.15,0.39,31.5,53.0,15.7,30
2022,Argentina,South America,3.13,308.9,9.7,19.7,80.3,FPS,Mobile,21,1617,50.3,62.2,0.69,0.82,0.0,32.9,56.0,5.8,258
2023,Argentina,South America,3.35,274.6,8.1,14.2,98.9,FPS,PC,101,20301,55.6,44.0,0.72,0.88,0.0,31.3,59.0,15.9,10
2024,Argentina,South America,3.6,500.7,36.6,114.3,81.6,FPS,Mobile,20,4620,58.1,45.2,0.83,0.94,0.0,35.5,62.0,7.6,245
2025,Argentina,South America,3.86,361.7,36.5,97.7,38.1,MOBA,Mobile,109,10573,73.3,41.0,0.87,1.0,0.0,37.5,65.0,21.2,453
2010,Poland,Europe,1.2,164.2,19.9,41.6,61.9,Strategy,Console,19,2812,79.8,85.6,0.02,0.1,0.0,13.0,20.0,5.5,120
2011,Poland,Europe,1.35,202.3,43.8,90.8,135.6,FPS,Mobile,116,27840,61.5,41.5,0.12,0.16,0.0,12.1,23.0,24.1,307
2012,Poland,Europe,1.52,178.2,15.9,47.9,121.2,Strategy,Console,6,1770,67.4,53.0,0.1,0.22,0.0,15.6,26.0,1.5,206
2013,Poland,Europe,1.7,249.4,24.8,43.7,110.6,MOBA,Console,17,2907,72.7,48.4,0.14,0.28,0.0,17.1,29.0,5.0,91
2014,Poland,Europe,1.91,216.9,25.1,38.0,92.8,FPS,Console,66,12738,83.8,92.3,0.07,0.34,0.0,14.6,32.0,23.3,192
2015,Poland,Europe,2.14,244.6,3.5,10.7,138.4,Sports,Console,108,24624,89.4,47.7,0.12,0.4,0.0,16.5,35.0,22.9,470
2016,Poland,Europe,2.4,186.0,54.9,93.0,132.4,RPG,Mobile,29,6728,61.0,48.0,0.2,0.46,0.0,20.8,38.0,8.0,293
2017,Poland,Europe,2.7,171.9,57.2,123.5,109.5,Sports,Mobile,98,10584,88.6,34.9,0.28,0.52,0.0,22.3,41.0,34.6,394
2018,Poland,Europe,3.03,347.1,38.2,106.2,66.9,Sports,Console,11,836,57.6,87.7,0.3,0.58,0.0,23.7,44.0,4.3,382
2019,Poland,Europe,3.4,366.1,19.9,48.7,125.2,RPG,Mobile,52,14196,80.2,77.3,0.36,0.64,0.0,28.4,47.0,19.9,424
2020,Poland,Europe,3.81,423.8,19.8,42.5,38.5,RPG,Mobile,31,1984,92.4,47.4,0.46,0.96,0.26,25.8,50.0,11.3,481
2021,Poland,Europe,4.28,237.8,16.8,43.0,50.6,Strategy,PC,86,25370,56.2,98.7,0.58,1.35,0.59,28.6,53.0,22.8,319
2022,Poland,Europe,4.8,657.0,32.7,79.8,79.3,MOBA,Mobile,26,2184,80.3,35.3,0.53,0.82,0.0,27.2,56.0,9.7,345
2023,Poland,Europe,5.38,545.3,20.6,55.5,149.5,RPG,PC,73,8614,75.7,60.9,0.78,0.88,0.0,30.0,59.0,27.8,435
2024,Poland,Europe,6.04,374.8,5.9,17.5,141.5,Sports,PC,101,5050,65.7,53.1,0.78,0.94,0.0,34.4,62.0,18.2,41
2025,Poland,Europe,6.78,846.9,55.2,94.8,57.9,FPS,PC,118,18290,53.7,58.9,0.85,1.0,0.0,36.6,65.0,25.8,122
2010,Thailand,Asia,7.22,986.1,2.6,7.9,85.3,MOBA,Console,71,8520,84.0,43.6,0.16,0.1,0.0,10.1,20.0,19.2,202
2011,Thailand,Asia,8.55,1166.0,17.5,44.9,133.1,RPG,Mobile,51,6375,65.2,87.1,0.09,0.16,0.0,13.5,23.0,19.8,431
2012,Thailand,Asia,10.14,694.4,26.8,43.5,56.9,RPG,Mobile,66,5214,72.2,49.8,0.11,0.22,0.0,11.1,26.0,17.1,107
2013,Thailand,Asia,12.02,1452.5,59.6,127.0,110.9,RPG,Console,83,13197,55.6,30.3,0.08,0.28,0.0,16.9,29.0,31.5,300
2014,Thailand,Asia,14.24,1762.7,10.1,23.9,87.9,Sports,Mobile,30,3870,72.6,26.1,0.1,0.34,0.0,14.1,32.0,5.4,196
2015,Thailand,Asia,16.88,1323.4,18.8,42.3,77.2,RPG,Mobile,82,5330,57.5,48.3,0.09,0.4,0.0,18.8,35.0,15.6,494
2016,Thailand,Asia,20.0,1822.4,40.5,70.3,78.2,FPS,Console,87,16965,92.8,40.7,0.2,0.46,0.0,22.0,38.0,17.8,344
2017,Thailand,Asia,23.7,1287.2,12.4,28.3,143.7,FPS,Console,65,11635,77.9,60.8,0.25,0.52,0.0,22.5,41.0,22.2,422
2018,Thailand,Asia,28.09,1943.8,10.5,35.3,140.1,MOBA,Console,7,749,53.1,50.1,0.4,0.58,0.0,20.4,44.0,2.1,279
2019,Thailand,Asia,33.29,3725.6,49.8,143.4,96.2,RPG,Console,64,16512,79.6,67.3,0.45,0.64,0.0,25.4,47.0,16.4,213
2020,Thailand,Asia,39.45,5223.4,13.8,33.7,126.1,Strategy,Console,6,1056,59.0,55.9,0.45,1.14,0.44,29.5,50.0,1.1,456
2021,Thailand,Asia,46.75,4022.8,7.1,13.4,95.5,Strategy,PC,114,19266,50.3,61.3,0.6,1.19,0.43,29.7,53.0,32.6,327
2022,Thailand,Asia,55.41,3388.2,35.1,93.4,115.8,Strategy,Mobile,89,17622,74.1,39.7,0.63,0.82,0.0,32.1,56.0,23.2,221
2023,Thailand,Asia,65.67,5726.7,46.1,100.3,144.2,RPG,PC,24,4056,64.1,62.4,0.73,0.88,0.0,32.9,59.0,7.2,485
2024,Thailand,Asia,77.82,11044.8,26.6,58.1,145.4,MOBA,PC,86,23478,90.9,67.7,0.86,0.94,0.0,31.7,62.0,23.4,426
2025,Thailand,Asia,92.23,11299.2,48.2,152.5,148.3,Sports,PC,104,17264,83.5,58.4,0.81,1.0,0.0,33.7,65.0,31.2,34
2010,Singapore,Asia,6.63,567.9,38.8,72.7,119.9,FPS,Mobile,47,9541,51.2,53.5,0.18,0.1,0.0,9.4,20.0,9.4,460
2011,Singapore,Asia,7.85,765.5,54.1,137.9,114.9,MOBA,PC,92,16100,59.3,25.1,0.1,0.16,0.0,12.8,23.0,24.1,75
2012,Singapore,Asia,9.3,775.4,24.5,43.5,118.6,Sports,Mobile,24,5664,88.5,56.4,0.1,0.22,0.0,13.1,26.0,9.2,348
2013,Singapore,Asia,11.02,626.4,54.0,94.0,69.3,RPG,Mobile,98,16268,59.3,88.9,0.16,0.28,0.0,12.3,29.0,24.3,366
2014,Singapore,Asia,13.06,890.1,27.0,49.4,114.8,Strategy,Mobile,41,2378,59.5,28.1,0.13,0.34,0.0,17.5,32.0,12.7,158
2015,Singapore,Asia,15.47,2209.6,44.8,94.7,61.8,MOBA,PC,14,2646,87.0,32.6,0.13,0.4,0.0,20.0,35.0,2.8,460
2016,Singapore,Asia,18.32,1950.5,36.8,67.5,75.6,Strategy,Console,90,15300,91.5,82.2,0.2,0.46,0.0,16.2,38.0,35.3,363
2017,Singapore,Asia,21.71,2143.2,3.4,6.9,78.9,MOBA,PC,15,2595,86.2,38.9,0.23,0.52,0.0,19.6,41.0,4.2,486
2018,Singapore,Asia,25.72,3487.8,45.5,141.5,46.4,FPS,PC,98,21168,82.6,87.7,0.35,0.58,0.0,18.5,44.0,36.6,198
2019,Singapore,Asia,30.47,4328.8,2.7,7.0,118.9,Strategy,Mobile,28,2800,77.6,42.7,0.32,0.64,0.0,24.4,47.0,4.8,481
2020,Singapore,Asia,36.1,3454.4,51.0,88.2,60.6,MOBA,PC,56,12264,55.4,27.7,0.54,1.09,0.39,28.3,50.0,9.3,189
2021,Singapore,Asia,42.77,4480.5,56.7,113.6,42.1,RPG,Mobile,105,28875,65.6,74.0,0.65,1.13,0.37,26.8,53.0,31.9,263
2022,Singapore,Asia,50.68,4392.5,7.8,23.6,146.0,Strategy,PC,62,16554,62.8,72.3,0.63,0.82,0.0,29.4,56.0,22.7,238
2023,Singapore,Asia,60.04,4594.1,11.8,20.0,80.3,Strategy,Mobile,12,804,74.6,43.7,0.69,0.88,0.0,30.4,59.0,4.5,294
2024,Singapore,Asia,71.13,4284.6,45.6,151.1,119.2,Sports,Mobile,86,10836,50.5,54.6,0.82,0.94,0.0,30.3,62.0,31.4,483
2025,Singapore,Asia,84.27,9115.7,46.4,107.4,135.6,Strategy,PC,9,2268,55.9,48.2,0.85,1.0,0.0,35.4,65.0,3.4,371
